albumsID,songID
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,33
2,34
2,35
2,36
2,37
2,38
2,39
3,40
3,41
3,42
3,43
3,44
3,45
3,46
3,47
3,48
3,49
3,50
3,51
3,52
3,53
3,54
3,55
3,56
4,57
4,58
4,59
4,60
4,61
4,62
4,63
4,64
4,65
4,66
4,67
4,68
4,69
4,70
4,71
4,72
5,73
5,74
5,75
5,76
5,77
5,78
5,79
5,80
5,81
5,82
5,83
5,84
5,85
5,86
5,87
5,88
6,89
6,90
6,91
6,92
6,93
6,94
6,95
6,96
6,97
6,98
7,99
7,100
7,101
7,102
7,103
7,104
7,105
7,106
7,107
7,108
7,109
7,110
7,111
7,112
7,113
8,114
8,115
8,116
8,117
8,118
8,119
8,120
8,121
8,122
8,123
8,124
8,125
8,126
8,127
